searge, name
field_100013_f, isPotionDurationMax
field_104024_v, openGLWarningLink
field_104025_t, threadLock
field_104057_T, isGamemodeForced
field_110126_a, FOOTPRINT_TEXTURE
field_110127_a, EXPLOSION_TEXTURE
field_110150_bn, lastAttackedEntity
field_110151_bq, absorptionAmount
field_110153_bc, lastDamage
field_110154_aX, onGroundSpeedFactor
field_110155_d, attributeMap
field_110156_b, SPRINTING_SPEED_BOOST_ID
field_110157_c, SPRINTING_SPEED_BOOST
field_110158_av, swingProgressInt
field_110168_bw, leashHolder
field_110169_bv, isLeashed
field_110170_bx, leashNBTTag
field_110179_h, FLEEING_SPEED_MODIFIER_UUID
field_110181_i, FLEEING_SPEED_MODIFIER
field_110184_bp, MODIFIER_UUID
field_110185_bq, MODIFIER
field_110186_bp, SPAWN_REINFORCEMENTS_CHANCE
field_110187_bq, BABY_SPEED_BOOST_ID
field_110188_br, BABY_SPEED_BOOST
field_110189_bq, ATTACK_SPEED_BOOST_MODIFIER_UUID
field_110190_br, ATTACK_SPEED_BOOST_MODIFIER
field_110192_bp, ATTACKING_SPEED_BOOST_ID
field_110193_bq, ATTACKING_SPEED_BOOST
field_110268_bz, HORSE_TEXTURES
field_110269_bA, HORSE_TEXTURES_ABBR
field_110271_bv, JUMP_STRENGTH
field_110274_bs, temper
field_110275_br, horseJumping
field_110276_bu, IS_HORSE_BREEDING
field_110277_bt, jumpPower
field_110278_bp, tailCounter
field_110279_bq, sprintCounter
field_110280_bR, horseTexturesArray
field_110281_bL, rearingAmount
field_110282_bM, prevRearingAmount
field_110283_bJ, headLean
field_110284_bK, prevHeadLean
field_110285_bP, gallopTime
field_110286_bQ, texturePrefix
field_110287_bN, mouthOpenness
field_110288_bO, prevMouthOpenness
field_110290_bE, openMouthCounter
field_110291_bB, HORSE_MARKING_TEXTURES
field_110292_bC, HORSE_MARKING_TEXTURES_ABBR
field_110294_bI, allowStandSliding
field_110295_bF, jumpRearingCounter
field_110296_bG, horseChest
field_110320_a, horseJumpPowerCounter
field_110321_bQ, horseJumpPower
field_110323_l, STAT_ICONS
field_110324_m, ICONS
field_110325_k, OPTIONS_BACKGROUND
field_110328_d, PUMPKIN_BLUR_TEX_PATH
field_110329_b, VIGNETTE_TEX_PATH
field_110330_c, WIDGETS_TEX_PATH
field_110351_G, backgroundTexture
field_110352_y, MINECRAFT_TITLE_TEXTURES
field_110353_x, SPLASH_TEXTS
field_110444_H, LOCATION_MOJANG_PNG
field_110445_I, MAC_DISPLAY_MODES
field_110446_Y, fileAssets
