func_100011_g,getIsPotionDurationMax
func_100012_b,setPotionDurationMax
func_100015_a,isKeyDown
func_104002_bU,isNoDespawnRequired
func_104055_i,setForceGamemode
func_104056_am,getForceGamemode
func_104112_b,flushToDisk
func_104140_m,flushToDisk
func_110121_a,isNotEmpty
func_110124_au,getUniqueID
func_110128_b,onBroken
func_110131_b,removeFrameFromMap
func_110132_b,removeInventoryChangeListener
func_110133_a,setCustomName
func_110134_a,addInventoryChangeListener
func_110138_aP,getMaxHealth
func_110139_bj,getAbsorptionAmount
func_110140_aT,getAttributeMap
func_110142_aN,getCombatTracker
func_110143_aJ,getHealth
func_110144_aD,getLastAttackedEntity
func_110145_l,dismountEntity
func_110146_f,updateDistance
func_110147_ax,applyEntityAttributes
func_110148_a,getEntityAttribute
func_110149_m,setAbsorptionAmount
func_110159_bB,updateLeashedState
func_110160_i,clearLeashed
func_110162_b,setLeashHolder
func_110163_bv,enablePersistence
func_110165_bF,recreateLeash
func_110166_bE,getLeashHolder
func_110167_bD,getLeashed
func_110173_bK,isWithinHomeDistanceCurrentPosition
func_110174_bM,getMaximumHomeDistance
func_110175_bO,hasHome
func_110177_bN,detachHome
func_110182_bF,isAttacking
func_110195_a,addGrowth
func_110198_t,increaseTemper
func_110199_f,openGUI
func_110200_cJ,canMate
func_110201_q,getMouthOpennessAngle
func_110202_bQ,getHorseVariant
func_110203_cN,getModifiedMovementSpeed
func_110204_cc,isEatingHaystack
func_110205_ce,isBreeding
func_110206_u,setJumpPower
func_110207_m,setChested
func_110208_b,setHorseWatchableBoolean
func_110209_cd,isRearing
func_110210_cH,moveTail
func_110212_cp,getVariantTexturePaths
func_110215_cj,getHorseJumpStrength
func_110216_r,spawnHorseParticles
func_110219_q,setRearing
func_110220_cK,makeHorseRear
func_110223_p,getRearingAmount
func_110226_cD,initHorseChest
func_110227_p,setEatingHaystack
func_110230_cF,resetTexturePrefix
func_110232_cE,updateHorseSlots
func_110233_w,getHorseWatchableBoolean
func_110234_j,setHorseTamed
func_110235_q,setHorseVariant
func_110237_h,mountTo
func_110238_s,setTemper
func_110242_l,setBreeding
func_110245_cM,getModifiedJumpStrength
func_110246_bZ,isHorseJumping
func_110247_cG,setHorseTexturePaths
func_110248_bS,isTame
func_110249_cI,openHorseMouth
func_110250_a,getClosestHorse
func_110251_o,setHorseSaddled
func_110252_cg,getTemper
func_110254_bY,getHorseSize
func_110255_k,setHorseJumping
func_110257_ck,isHorseSaddled
func_110258_o,getGrassEatingAmount
func_110263_g,setTamedBy
func_110264_co,getHorseTexture
func_110266_cB,eatingHorse
func_110267_cL,getModifiedMaxHealth
func_110297_a_,verifySellingItem
func_110303_q,getLocationCape
func_110304_a,getDownloadImageSkin
func_110306_p,getLocationSkin
func_110311_f,getLocationSkin
func_110317_t,isRidingHorse
func_110318_g,sendHorseJump
func_110319_bJ,getHorseJumpPower
func_110326_a,setOverlayMessage
func_110430_a,setEntityActionState
func_110432_I,getSession
func_110434_K,getTextureManager
func_110436_a,refreshResources
func_110437_J,getProxy
func_110438_M,getResourcePackRepository
func_110441_Q,updateDisplayMode
func_110442_L,getResourceManager
func_110454_ao,getServerProxy
func_110455_j,getOpPermissionLevel
func_110462_b,getPackFormat
func_110468_c,getFrameIndex
func_110469_d,getFrameTime
func_110470_b,frameHasTime
func_110471_a,getFrameHeight
func_110472_a,getFrameTimeSingle
func_110473_c,getFrameCount
func_110474_b,getFrameWidth
func_110479_a,getTextureBlur
func_110480_b,getTextureClamp
func_110483_a,getSectionName
func_110492_a,parseAnimationFrame
func_110495_a,hasNoTime
func_110496_c,getFrameIndex
func_110497_b,getFrameTime
func_110503_a,parseMetadataSection
func_110504_a,registerMetadataSectionType
func_110505_a,getGson
func_110514_c,getResourcePack
func_110515_d,getResourcePackName
func_110516_a,updateResourcePack
func_110517_b,closeResourcePack
func_110518_a,bindTexturePackIcon
func_110519_e,getTexturePackDescription
func_110526_a,getMetadata
func_110527_b,getInputStream
func_110528_c,hasMetadata
func_110536_a,getResource
func_110537_b,getLocationMcmeta
func_110538_a,addResourcePack
func_110541_a,reloadResources
func_110542_a,registerReloadListener
func_110543_a,clearResources
func_110544_b,notifyReloadListeners
func_110545_a,reloadResourcePack
func_110549_a,onResourceManagerReload
func_110550_d,tick
func_110551_a,loadTexture
func_110552_b,getGlTextureId
func_110564_a,updateDynamicTexture
func_110565_c,getTextureData
func_110569_e,initMissingImage
func_110571_b,loadTextureAtlas
func_110572_b,getAtlasSprite
func_110577_a,bindTexture
func_110578_a,getDynamicTextureLocation
func_110579_a,loadTexture
func_110580_a,loadTickableTexture
func_110581_b,getTexture
func_110586_a,getPackImage
func_110587_b,getResourceDomains
func_110589_b,resourceExists
func_110590_a,getInputStream
func_110591_a,getInputStreamByName
func_110592_c,locationToName
func_110593_b,hasResourceName
func_110594_c,logNameNotLowercase
func_110595_a,getRelativeName
func_110596_a,readMetadata
func_110599_c,getResourcePackZipFile
func_110605_c,getResourceStream
func_110609_b,getRepositoryEntriesAll
func_110611_a,updateRepositoryEntriesAll
func_110612_e,getDirResourcepacks
func_110613_c,getRepositoryEntries
func_110614_g,getResourcePackFiles
func_110616_f,fixDirResourcepacks
func_110623_a,getPath
func_110624_b,getNamespace
func_110646_a,getTextWithoutFormattingCodes
func_110647_a,getOSType
func_110667_a,getNumberOfTeams
func_110668_a,spreadPositions
func_110669_a,spread
func_110670_a,createInitialPositions
func_110671_a,setPlayerPositions
func_110683_a,updateHorseRotation
func_110738_j,isRidingHorse
func_110775_a,getEntityTexture
func_110776_a,bindTexture
func_110827_b,renderLeash
func_110828_a,interpolateValue
func_110934_a,addSprite
func_110935_a,getCurrentWidth
func_110936_b,getCurrentHeight
func_110966_b,setIconWidth
func_110967_i,getOriginY
func_110968_a,setFramesTextureData
func_110969_c,setIconHeight
func_110970_k,getFrameCount
func_110971_a,initSprite
func_110985_a,updateAnaglyph
func_110986_a,readImageData
func_110987_a,uploadTextureImage
func_110988_a,uploadTexture
func_110989_a,uploadTextureImageAllocate
func_110990_a,copyToBuffer
func_110991_a,allocateTexture
func_110993_a,uploadTextureImageSubImpl
func_110994_a,copyToBufferPos
func_110995_a,uploadTextureImageSub
func_110996_a,glGenTextures
func_110997_a,setTextureClamped
func_111092_a,getSpawnY
func_111093_a,clamp
func_111094_b,moveAway
func_111095_a,normalize
func_111096_b,getLength
func_111097_a,randomize
func_111098_b,isSafe
func_111099_a,dist
func_111104_a,setRandomEffect
func_111108_a,getName
func_111109_a,clampValue
func_111110_b,getDefaultValue
func_111111_c,getShouldWatch
func_111112_a,setShouldWatch
func_111116_f,getDescription
func_111117_a,setDescription
func_111121_a,applyModifier
func_111122_c,getModifiers
func_111123_a,getAttribute
func_111124_b,removeModifier
func_111125_b,getBaseValue
func_111126_e,getAttributeValue
func_111127_a,getModifier
func_111128_a,setBaseValue
func_111129_g,computeValue
func_111130_a,getModifiersByOperation
func_111131_f,flagForUpdate
func_111146_a,getAllAttributes
func_111147_b,applyAttributeModifiers
func_111148_a,removeAttributeModifiers
func_111150_b,registerAttribute
func_111151_a,getAttributeInstance
func_111152_a,getAttributeInstanceByName
func_111160_c,getWatchedAttributes
func_111161_b,getDirtyInstances
func_111164_d,getAmount
func_111165_e,isSaved
func_111166_b,getName
func_111167_a,getID
func_111168_a,setSaved
func_111169_c,getOperation
func_111175_f,getTargetDistance
func_111183_a,getAttributeModifierAmount
func_111184_a,registerPotionAttributeModifier
func_111185_a,applyAttributesModifiersToEntity
func_111186_k,getAttributeModifierMap
func_111187_a,removeAttributesModifiersFromEntity
func_111190_b,sendMetadata
func_111205_h,getItemAttributeModifiers
func_111206_d,getByNameOrId
func_111207_a,itemInteractionForEntity
func_111225_m,getRelevantEnchantmentTypes
func_111226_a,hasRelevantEnchantmentType
func_111229_a,setRelevantEnchantmentTypes
func_111238_b,isEnabled
func_111257_a,writeBaseAttributeMapToNBT
func_111258_a,applyModifiersToAttributeInstance
func_111259_a,readAttributeModifierFromNBT
func_111261_a,writeAttributeInstanceToNBT
func_111262_a,writeAttributeModifierToNBT
func_111269_d,getPathSearchRange
func_111270_a,union
func_111271_a,getUnicodePageLocation
func_111272_d,readFontTexture
func_111282_a,interactWithEntity
func_111283_C,getAttributeModifiers
func_111285_a,getUsername
func_111286_b,getSessionID
func_120011_ar,setGuiEnabled
func_120016_a,createServerGui
func_120018_d,getLogComponent
func_120019_b,getStatsComponent
func_120020_c,getPlayerListComponent
func_120034_a,tick
func_120035_a,mean
func_130001_d,getCurrentMoonPhaseFactor
func_130010_a,getOriginX
func_130011_c,setLastAttackedEntity
func_130014_f_,getEntityWorld
func_130071_aq,getCurrentTimeMillis
func_130072_d,getAnimationFrame
func_130073_e,getFrameIndexSet
